%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,ethVlanID,srcIP,srcIPCC,srcIPOrg,srcPort,dstIP,dstIPCC,dstIPOrg,dstPort,l4Proto,macStat,macPairs,srcMac_dstMac_numP,srcManuf_dstManuf,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipTOS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpISeqN,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpMPTBF,tcpMPF,tcpMPAID,tcpMPdssF,tcpTmS,tcpTmER,tcpEcI,tcpUtm,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStates,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF
B,22,0x0400000000004001,1527823232.74494,1527823243.011037,10.266097,1,3,eth:ipv4:tcp,14:cc:20:51:33:ea,e0:76:d0:3f:00:ae,0x0800,,52.193.63.241,jp,Amazon Data Services Japan,443,192.168.1.216,07,Private network,43653,6,0x00,1,14:cc:20:51:33:ea_e0:76:d0:3f:00:ae_11,Tp-LinkT_AMPAKTec,443,https,11,13,4552,909,0,1460,413.8182,550.6317,0,9.321448,0.9332817,2.503376,1.071488,443.4012,-0.08333334,0.6670939,0x00c4,1,17159,35,35,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2338279568,11,4551,0,6,910,1,29200,30807.56,29200,31088,0,2,1,0.0,0x1e,0x0006,1,1,0x00000004,1460,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.175737,0.174119,0.218267,0.1803405,0.01122594,1.605011,3.145824,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,1,6,3,9,9.0
A,26,0x0400000000004000,1527823242.835489,1527823253.030122,10.194633,1,3,eth:ipv4:tcp,e0:76:d0:3f:00:ae,14:cc:20:51:33:ea,0x0800,,192.168.1.216,07,Private network,43655,52.193.63.241,jp,Amazon Data Services Japan,443,6,0x00,1,e0:76:d0:3f:00:ae_14:cc:20:51:33:ea_9,AMPAKTec_Tp-LinkT,443,https,9,8,1042,173,0,516,115.7778,169.6503,0,9.301754,1.132737,2.676833,0.8828174,102.2106,0.05882353,0.7152264,0x0054,1,10665,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3901495885,5,1041,2,1,141,0,467200,344631.7,0,497408,1,1,2,0.1111111,0x1f,0x0001,1,5,0x0000011e,1460,32,0x0000,0x00,0,0x00,3265206,0,0.004,13060.82462,1527810182.010869,0.0,0.004769,9.126789,2.047204,3.520818,0.175346,-1.0,0x12,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,6,1,4,10,1.666667
B,26,0x0400000000004001,1527823243.010835,1527823253.025353,10.014518,1,3,eth:ipv4:tcp,14:cc:20:51:33:ea,e0:76:d0:3f:00:ae,0x0800,,52.193.63.241,jp,Amazon Data Services Japan,443,192.168.1.216,07,Private network,43655,6,0x00,1,14:cc:20:51:33:ea_e0:76:d0:3f:00:ae_8,Tp-LinkT_AMPAKTec,443,https,8,9,173,1042,0,142,21.625,38.8842,0,9.301208,1.251815,2.781886,0.7988403,17.27492,-0.05882353,-0.7152264,0x00c4,1,28715,35,35,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,4222840244,8,172,0,5,1043,1,29200,30763.41,29200,31088,0,2,1,0.0,0x1e,0x0006,1,1,0x00000004,1460,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.175346,0.17442,0.212053,0.1799378,0.01060809,2.227141,3.520834,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,1,6,3,9,9.0
A,28,0x0400000000004000,1527823252.850121,1527823263.049173,10.199052,1,3,eth:ipv4:tcp,e0:76:d0:3f:00:ae,14:cc:20:51:33:ea,0x0800,,192.168.1.216,07,Private network,43656,52.193.63.241,jp,Amazon Data Services Japan,443,6,0x00,1,e0:76:d0:3f:00:ae_14:cc:20:51:33:ea_9,AMPAKTec_Tp-LinkT,443,https,9,8,1042,173,0,516,115.7778,169.6503,0,9.282374,1.133228,2.670432,0.882435,102.1664,0.05882353,0.7152264,0x0054,1,16018,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1762943929,5,1041,2,1,141,0,467200,344631.7,0,497408,1,1,2,0.1111111,0x1f,0x0001,1,5,0x0000011e,1460,32,0x0000,0x00,0,0x00,3266207,0,0.004,13064.828621,1527810188.021501,0.0,0.005723,9.108016,2.044533,3.512741,0.175401,-1.0,0x12,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,6,1,4,12,2.0
B,28,0x0400000000004001,1527823253.025522,1527823263.041855,10.016333,1,3,eth:ipv4:tcp,14:cc:20:51:33:ea,e0:76:d0:3f:00:ae,0x0800,,52.193.63.241,jp,Amazon Data Services Japan,443,192.168.1.216,07,Private network,43656,6,0x00,1,14:cc:20:51:33:ea_e0:76:d0:3f:00:ae_8,Tp-LinkT_AMPAKTec,443,https,8,9,173,1042,0,142,21.625,38.8842,0,9.282021,1.252042,2.775315,0.7986955,17.27179,-0.05882353,-0.7152264,0x00c4,1,15705,35,35,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2396199483,8,172,0,5,1043,1,29200,30763.41,29200,31088,0,2,1,0.0,0x1e,0x0006,1,1,0x00000004,1460,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.175401,0.174005,0.214907,0.180226,0.01146196,2.224759,3.51276,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,1,6,3,11,11.0
A,31,0x0400000000004000,1527823260.865668,1527823262.255931,1.390263,1,3,eth:ipv4:tcp,e0:76:d0:3f:00:ae,14:cc:20:51:33:ea,0x0800,,192.168.1.216,07,Private network,35954,35.160.234.140,us,Amazon Technologies Inc,443,6,0x00,1,e0:76:d0:3f:00:ae_14:cc:20:51:33:ea_13,AMPAKTec_Tp-LinkT,443,https,13,9,4999,3848,0,2449,384.5385,671.4086,0,0.58849,0.1069433,0.1448582,9.350749,3595.723,0.1818182,0.1301006,0x00d4,1,2,64,64,0,0x00,0x0840,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1817978057,10,4998,2,6,3848,0,467200,31108.53,14624,467200,1,4,1,0.0,0x1b,0x0001,13,41,0x0000011e,1460,32,0x0000,0x00,0,0x00,3267148,1044588644,0.01,32671.47927,1527790590.776662,0.0,0.00097,0.591142,0.09486647,0.1971259,0.150708,-1.0,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,6,1,4,10,1.666667
B,31,0x0400000000004001,1527823261.016376,1527823262.250975,1.234599,1,3,eth:ipv4:tcp,14:cc:20:51:33:ea,e0:76:d0:3f:00:ae,0x0800,,35.160.234.140,us,Amazon Technologies Inc,443,192.168.1.216,07,Private network,35954,6,0x00,1,14:cc:20:51:33:ea_e0:76:d0:3f:00:ae_9,Tp-LinkT_AMPAKTec,443,https,9,13,3848,4999,0,1448,427.5555,505.085,0,0.742466,0.1371777,0.2051569,7.289816,3116.802,-0.1818182,-0.1301006,0x00d4,1,31168,232,232,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1007312534,9,3847,0,4,4999,1,6872832,430013.9,28160,6872832,1,2,1,0.0,0x1b,0x0003,9,29,0x0000011e,1460,256,0x0000,0x00,0,0x00,1044588644,3267132,0.004,4178354.774461,1523644907.476514,0.150708,0.15069,0.157798,0.1536755,0.002297868,0.2485419,0.1971393,0x00,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,1,6,3,9,9.0
A,32,0x0400000000004000,1527823262.86669,1527823273.057575,10.190885,1,3,eth:ipv4:tcp,e0:76:d0:3f:00:ae,14:cc:20:51:33:ea,0x0800,,192.168.1.216,07,Private network,43658,52.193.63.241,jp,Amazon Data Services Japan,443,6,0x00,1,e0:76:d0:3f:00:ae_14:cc:20:51:33:ea_9,AMPAKTec_Tp-LinkT,443,https,9,8,1042,173,0,516,115.7778,169.6503,0,9.25753,1.132321,2.662816,0.8831422,102.2482,0.05882353,0.7152264,0x0054,1,39163,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1260881791,5,1041,2,1,141,0,467200,344631.7,0,497408,1,1,2,0.1111111,0x1f,0x0001,1,5,0x0000011e,1460,32,0x0000,0x00,0,0x00,3267209,0,0.004,13068.836621,1527810194.03007,0.0,0.00356,9.083542,2.040773,3.502249,0.17591,-1.0,0x12,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,6,1,4,10,1.666667
B,32,0x0400000000004001,1527823263.0426,1527823273.054015,10.011415,1,3,eth:ipv4:tcp,14:cc:20:51:33:ea,e0:76:d0:3f:00:ae,0x0800,,52.193.63.241,jp,Amazon Data Services Japan,443,192.168.1.216,07,Private network,43658,6,0x00,1,14:cc:20:51:33:ea_e0:76:d0:3f:00:ae_8,Tp-LinkT_AMPAKTec,443,https,8,9,173,1042,0,142,21.625,38.8842,0,9.256995,1.251427,2.767075,0.7990879,17.28028,-0.05882353,-0.7152264,0x00c4,1,24029,38,38,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,3857607922,8,172,0,5,1043,1,29200,30763.41,29200,31088,0,2,1,0.0,0x1e,0x0006,1,1,0x00000004,1460,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.17591,0.173453,0.212858,0.1803121,0.01077869,2.221085,3.502266,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,1,6,3,9,9.0
A,33,0x0400000000004000,1527823272.878285,1527823283.07178,10.193495,1,3,eth:ipv4:tcp,e0:76:d0:3f:00:ae,14:cc:20:51:33:ea,0x0800,,192.168.1.216,07,Private network,43659,52.193.63.241,jp,Amazon Data Services Japan,443,6,0x00,1,e0:76:d0:3f:00:ae_14:cc:20:51:33:ea_9,AMPAKTec_Tp-LinkT,443,https,9,8,1042,173,0,516,115.7778,169.6503,0,9.235312,1.132611,2.655687,0.882916,102.2221,0.05882353,0.7152264,0x0054,1,39610,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,1755873666,5,1041,2,1,141,0,467200,344631.7,0,497408,1,1,2,0.1111111,0x1f,0x0001,1,5,0x0000011e,1460,32,0x0000,0x00,0,0x00,3268210,0,0.004,13072.840621,1527810200.037665,0.0,0.002316,9.058321,2.037048,3.492035,0.177489,-1.0,0x12,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,6,1,4,10,1.666667
B,33,0x0400000000004001,1527823273.055774,1527823283.066549,10.010775,1,3,eth:ipv4:tcp,14:cc:20:51:33:ea,e0:76:d0:3f:00:ae,0x0800,,52.193.63.241,jp,Amazon Data Services Japan,443,192.168.1.216,07,Private network,43659,6,0x00,1,14:cc:20:51:33:ea_e0:76:d0:3f:00:ae_8,Tp-LinkT_AMPAKTec,443,https,8,9,173,1042,0,142,21.625,38.8842,0,9.234923,1.251347,2.7597,0.799139,17.28138,-0.05882353,-0.7152264,0x00c4,1,36218,38,38,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,597079949,8,172,0,5,1043,1,29200,30763.41,29200,31088,0,2,1,0.0,0x1e,0x0006,1,1,0x00000004,1460,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.177489,0.176602,0.215435,0.1822075,0.01097459,2.219255,3.492052,0x42,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,1,6,3,9,9.0
A,43,0x0400000000004000,1527823283.334031,1527823284.079296,0.745265,1,3,eth:ipv4:tcp,70:88:6b:10:0f:c6,14:cc:20:51:33:ea,0x0800,,192.168.1.152,07,Private network,43857,52.36.46.229,us,Amazon Technologies Inc,443,6,0x00,1,70:88:6b:10:0f:c6_14:cc:20:51:33:ea_11,-_Tp-LinkT,443,https,11,11,706,3156,0,267,64.18182,78.92562,0,0.155155,0.06775137,0.06510118,14.75985,947.314,0.0,-0.6343863,0x0044,1,1,128,128,0,0x00,0x0000,0,0x00_0x00000000,0_0,0x00000000_0x00000000,830036740,8,705,2,3,3156,0,4096,4096.0,4096,4096,0,0,0,0.0,0x1b,0x0001,1,1,0x00000004,1460,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.0,0.001467,0.133158,0.03822591,0.05305352,0.151724,-1.0,0x02,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,3,1,2,2,0.6666667
B,43,0x0400000000004001,1527823283.485755,1527823284.228571,0.742816,1,3,eth:ipv4:tcp,14:cc:20:51:33:ea,70:88:6b:10:0f:c6,0x0800,,52.36.46.229,us,Amazon Technologies Inc,443,192.168.1.152,07,Private network,43857,6,0x00,1,14:cc:20:51:33:ea_70:88:6b:10:0f:c6_11,Tp-LinkT_-,443,https,11,11,3156,706,0,1460,286.9091,425.1534,0,0.282503,0.06752873,0.08443259,14.80851,4248.697,0.0,0.6343863,0x0044,1,50148,233,233,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2034969613,9,3155,0,3,636,1,26883,13920.94,0,28944,2,2,2,0.1818182,0x1f,0x0003,1,1,0x00000004,1460,1,0x0000,0x00,0,0x00,0,0,0.0,0.0,0.0,0.151724,0.149147,0.151724,0.1502945,0.0008652624,0.1885205,0.05306057,0x52,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,1,3,1,1,1.0
A,39,0x0400000000004000,1527823282.889204,1527823293.082387,10.193183,1,3,eth:ipv4:tcp,e0:76:d0:3f:00:ae,14:cc:20:51:33:ea,0x0800,,192.168.1.216,07,Private network,43660,52.193.63.241,jp,Amazon Data Services Japan,443,6,0x00,1,e0:76:d0:3f:00:ae_14:cc:20:51:33:ea_9,AMPAKTec_Tp-LinkT,443,https,9,8,1042,173,0,516,115.7778,169.6503,0,9.391613,1.132576,2.705748,0.882943,102.2252,0.05882353,0.7152264,0x0054,1,48678,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,2064309469,5,1041,2,1,141,0,467200,344631.7,0,497408,1,1,2,0.1111111,0x1f,0x0001,1,5,0x0000011e,1460,32,0x0000,0x00,0,0x00,3269211,0,0.004,13076.844621,1527810206.044583,0.0,0.004735,9.216781,2.055321,3.561193,0.176375,-1.0,0x12,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0.0,0,6,1,4,10,1.666667
